version,caseid,profile_gender,profile_age,profile_racethnicity,profile_educ5,profile_marital,profile_employ,profile_income,profile_state,profile_region4,profile_region9,profile_metro,profile_internet,profile_housing,profile_home_type,profile_phoneservice,profile_hhsize,profile_hh01,profile_hh25,profile_hh612,profile_hh1317,profile_hh18ov,profile_genhealth,profile_veteran,profile_lgbt,profile_relig,profile_born,profile_lang_other1,profile_newstv,profile_newsradio,profile_newsonline,profile_newsmobile,profile_newskeepup,profile_socmedia1_t,profile_socmedia1_f,profile_socmedia1_i,profile_socmedia1_s,profile_socmedia2_t,profile_socmedia2_f,profile_socmedia2_i,profile_socmedia2_s,profile_hl032,w1congdist,w2congdist,vote20d1
ANES 2020-22 Social Media Study 20230705,280,1,33,1,3,3,6,3,NM,4,8,0,0,1,1,4,1,0,0,0,0,1,2,1,2,14,-1,2,1,2,1,1,1,2,1,2,2,-1,1,-1,-1,1,NM - Congressional District 2,NM - Congressional District 2,2
ANES 2020-22 Social Media Study 20230705,281,1,62,1,2,3,1,13,TX,3,7,0,1,1,1,2,3,0,0,0,0,3,5,2,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,-1,-1,1,TX - Congressional District 25,TX - Congressional District 25,1
ANES 2020-22 Social Media Study 20230705,282,2,40,1,3,1,7,5,OH,2,3,1,1,2,4,4,4,0,0,0,2,2,3,2,2,1,1,2,2,2,1,1,2,2,1,2,2,-1,1,-1,-1,1,OH - Congressional District 15,OH - Congressional District 15,1
ANES 2020-22 Social Media Study 20230705,283,1,70,1,2,1,5,9,WA,4,9,1,1,1,1,1,2,0,0,0,0,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,1,WA - Congressional District 2,WA - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,284,1,56,1,2,1,2,12,SD,2,4,1,1,1,1,4,6,0,0,0,0,4,3,2,2,2,2,2,1,1,1,1,1,2,1,2,2,-1,1,-1,-1,1,SD - Congressional District (at Large),SD - Congressional District (at Large),1
ANES 2020-22 Social Media Study 20230705,285,1,37,3,4,1,1,18,NJ,1,2,1,1,1,1,4,4,0,1,0,0,3,3,2,2,14,-1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NJ - Congressional District 3,NJ - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,286,1,65,1,3,5,2,8,NY,1,2,1,1,1,1,2,2,0,0,0,0,2,4,2,2,2,2,2,1,2,1,1,1,2,2,2,2,-1,-1,-1,-1,2,NY - Congressional District 24,NY - Congressional District 24,2
ANES 2020-22 Social Media Study 20230705,287,1,73,1,5,1,5,8,TN,3,6,1,1,1,1,3,2,0,0,0,0,2,4,1,2,2,2,2,1,2,1,2,1,2,2,2,2,-1,-1,-1,-1,1,TN - Congressional District 2,TN - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,288,2,45,4,3,5,6,1,CA,4,9,1,1,2,3,3,1,0,0,0,0,1,2,2,2,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,CA - Congressional District 37,-6,2
ANES 2020-22 Social Media Study 20230705,289,2,40,1,3,1,1,13,CA,4,9,1,1,2,2,4,3,0,0,0,0,1,4,2,2,12,1,2,2,2,1,1,2,2,2,2,2,-1,-1,-1,-1,1,CA - Congressional District 45,CA - Congressional District 45,2
ANES 2020-22 Social Media Study 20230705,290,2,71,1,2,1,5,13,FL,3,5,1,1,1,1,3,2,0,0,0,0,2,3,2,2,1,1,2,2,1,1,2,1,2,1,2,2,-1,1,-1,-1,1,FL - Congressional District 16,FL - Congressional District 16,1
ANES 2020-22 Social Media Study 20230705,292,1,29,4,2,6,1,13,MN,2,4,1,1,2,1,4,3,0,0,0,0,3,3,2,2,11,-1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,NJ - Congressional District 3,NJ - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,293,1,78,1,4,2,2,16,TX,3,7,1,0,1,1,4,1,0,0,0,0,1,4,2,2,1,1,2,1,1,2,2,1,2,2,2,2,-1,-1,-1,-1,1,TX - Congressional District 32,TX - Congressional District 32,1
ANES 2020-22 Social Media Study 20230705,294,2,27,4,4,5,1,4,TX,3,7,1,0,3,3,4,2,0,0,0,0,2,4,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,TX - Congressional District 21,TX - Congressional District 21,1
ANES 2020-22 Social Media Study 20230705,295,2,32,1,5,1,1,14,MN,2,4,1,1,1,1,4,2,0,0,0,0,2,5,2,2,1,2,2,2,2,1,1,2,2,1,1,1,-1,1,2,1,1,MN - Congressional District 1,MN - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,296,2,38,1,3,1,1,11,OR,4,9,0,1,2,4,4,6,0,0,0,4,2,4,2,2,12,2,2,2,2,2,2,4,2,2,2,2,-1,-1,-1,-1,1,OR - Congressional District 4,OR - Congressional District 4,1
ANES 2020-22 Social Media Study 20230705,297,2,43,1,4,1,7,18,MA,1,1,1,1,2,1,4,4,0,1,1,0,2,4,2,2,2,2,2,1,2,2,1,3,2,2,2,2,-1,-1,-1,-1,1,MA - Congressional District 4,MA - Congressional District 4,2
ANES 2020-22 Social Media Study 20230705,298,2,53,1,3,6,1,14,PA,1,2,1,1,1,1,4,3,0,0,0,0,3,4,2,2,1,2,1,1,1,1,1,2,2,1,1,1,-1,2,1,1,1,PA - Congressional District 10,PA - Congressional District 10,1
ANES 2020-22 Social Media Study 20230705,300,1,80,1,5,1,5,15,MA,1,1,1,1,1,1,2,2,0,0,0,0,2,3,2,2,9,-1,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,CA - Congressional District 1,CA - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,301,1,73,1,4,1,2,14,OR,4,9,1,1,1,1,2,2,0,0,0,0,1,3,2,2,2,2,2,1,2,2,1,1,2,2,2,2,-1,-1,-1,-1,1,OR - Congressional District 3,-6,1
ANES 2020-22 Social Media Study 20230705,302,1,77,1,5,1,5,14,WA,4,9,1,1,1,1,4,2,0,0,0,0,2,2,2,2,9,-1,2,-7,2,1,2,1,2,2,2,2,-1,-1,-1,-1,1,WA - Congressional District 1,WA - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,303,1,51,1,3,1,1,14,AL,3,6,0,1,1,1,2,3,0,0,0,0,3,5,2,2,1,2,1,1,1,2,2,1,2,1,2,2,-1,1,-1,-1,1,AL - Congressional District 3,AL - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,304,1,66,1,3,1,5,11,CA,4,9,1,1,1,2,4,3,0,0,0,0,3,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,-1,1,-1,-1,1,CA - Congressional District 48,CA - Congressional District 48,2
ANES 2020-22 Social Media Study 20230705,305,1,38,1,2,1,1,8,MO,2,4,0,1,1,1,4,6,0,0,4,2,2,3,2,2,1,1,2,1,1,1,1,1,2,1,2,2,-1,2,-1,-1,1,MO - Congressional District 8,MO - Congressional District 8,1
ANES 2020-22 Social Media Study 20230705,306,2,33,3,5,1,1,13,MI,2,3,1,1,3,2,4,4,0,1,0,1,2,3,2,2,14,2,1,1,1,1,1,1,1,1,1,2,2,1,2,-1,-1,MI - Congressional District 11,MI - Congressional District 11,2
ANES 2020-22 Social Media Study 20230705,307,1,58,1,4,1,1,14,MN,2,4,0,1,1,1,2,2,0,0,0,0,2,4,2,2,1,2,2,1,1,1,1,1,2,1,2,2,-1,2,-1,-1,1,MN - Congressional District 1,MN - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,308,1,57,2,5,1,1,16,CA,4,9,1,1,2,3,2,3,0,0,0,0,3,4,1,2,1,2,2,2,2,2,1,3,2,1,2,2,-1,2,-1,-1,1,CA - Congressional District 50,CA - Congressional District 53,2
ANES 2020-22 Social Media Study 20230705,309,2,68,1,3,1,5,8,CO,4,8,1,1,1,1,2,2,0,0,0,0,2,5,2,2,1,2,2,1,2,1,1,2,1,2,1,1,2,-1,1,1,1,CO - Congressional District 1,CO - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,310,2,25,2,3,5,1,4,ND,2,4,1,1,3,3,4,2,0,0,0,0,1,5,2,2,12,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ND - Congressional District (at Large),ND - Congressional District (at Large),2
ANES 2020-22 Social Media Study 20230705,311,1,74,1,5,1,5,18,VA,3,5,1,1,1,1,4,4,0,0,0,0,4,2,2,2,9,-1,2,2,2,1,1,1,2,2,2,2,-1,-1,-1,-1,1,VA - Congressional District 10,VA - Congressional District 10,2
ANES 2020-22 Social Media Study 20230705,312,1,80,1,3,2,5,11,WA,4,9,1,1,1,1,1,5,0,0,0,0,1,3,1,2,2,2,2,1,2,1,2,1,2,2,2,2,-1,-1,-1,-1,1,WA - Congressional District 2,WA - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,313,2,63,2,3,3,1,12,MD,3,5,1,1,1,2,4,5,0,0,0,0,2,5,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MD - Congressional District 7,-6,2
ANES 2020-22 Social Media Study 20230705,314,1,51,1,3,3,2,17,MI,2,3,1,0,1,1,4,2,0,0,0,0,1,2,1,2,11,-1,2,1,1,1,1,1,2,1,2,2,-1,1,-1,-1,1,MI - Congressional District 6,MI - Congressional District 6,1
ANES 2020-22 Social Media Study 20230705,315,2,22,1,2,6,2,7,VT,1,1,0,1,1,1,2,4,0,0,0,0,4,3,2,1,12,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,VT - Congressional District (at Large),-6,2
ANES 2020-22 Social Media Study 20230705,316,1,54,2,4,3,2,10,GA,3,5,1,1,2,3,4,1,0,0,0,0,1,4,2,2,11,-1,1,1,2,1,1,1,2,1,1,2,-1,1,1,-1,2,GA - Congressional District 6,GA - Congressional District 6,1
ANES 2020-22 Social Media Study 20230705,317,1,43,3,4,1,1,17,NJ,1,2,1,1,1,1,2,4,0,0,2,0,2,4,2,2,1,1,1,1,2,1,1,1,2,1,2,2,-1,1,-1,-1,1,NJ - Congressional District 5,NJ - Congressional District 5,1
ANES 2020-22 Social Media Study 20230705,318,1,41,1,4,5,4,13,NE,2,4,1,1,1,1,4,1,0,0,0,0,1,4,1,2,11,-1,2,2,2,1,1,4,2,1,2,2,-1,1,-1,-1,1,NE - Congressional District 2,NE - Congressional District 2,2
ANES 2020-22 Social Media Study 20230705,319,2,70,1,5,5,1,12,NJ,1,2,1,0,2,3,3,1,0,0,0,0,1,4,2,2,1,2,2,1,1,2,2,1,2,1,2,2,-1,-7,-1,-1,1,NJ - Congressional District 1,NJ - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,320,2,35,3,3,3,2,1,GA,3,5,0,0,1,1,4,5,0,0,1,1,3,4,2,2,14,-1,2,2,2,2,2,3,2,1,1,2,-1,1,1,-1,1,GA - Congressional District 9,GA - Congressional District 9,4
ANES 2020-22 Social Media Study 20230705,321,1,35,3,5,1,1,14,CA,4,9,1,1,3,2,4,6,0,0,0,0,3,5,2,2,14,-1,1,2,1,1,1,3,1,1,2,2,1,1,-1,-1,1,CA - Congressional District 17,CA - Congressional District 17,1
ANES 2020-22 Social Media Study 20230705,322,1,38,1,3,1,1,7,TX,3,7,1,1,1,1,4,4,0,0,1,1,2,3,2,2,11,-1,2,2,1,2,1,1,2,1,2,2,-1,1,-1,-1,2,TX - Congressional District 1,TX - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,323,1,57,1,3,1,6,11,OK,3,7,1,1,1,1,4,2,0,0,0,0,2,2,1,2,1,2,2,1,2,1,1,2,2,2,2,2,-1,-1,-1,-1,1,OK - Congressional District 1,OK - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,324,1,59,1,3,6,2,8,CO,4,8,1,1,1,1,4,6,0,0,0,1,4,2,2,2,11,-1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,1,CO - Congressional District 3,CO - Congressional District 3,2
ANES 2020-22 Social Media Study 20230705,325,2,35,1,3,4,1,10,NH,1,1,1,1,2,3,2,4,0,0,0,0,1,2,2,2,11,-1,2,2,2,1,1,2,2,1,1,1,-1,1,1,1,2,NH - Congressional District 1,NH - Congressional District 1,4
ANES 2020-22 Social Media Study 20230705,326,2,68,1,4,3,5,9,AZ,4,8,1,1,2,2,3,1,0,0,0,0,1,4,2,2,11,-1,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,AZ - Congressional District 4,AZ - Congressional District 4,2
ANES 2020-22 Social Media Study 20230705,327,2,62,1,4,2,1,11,CO,4,8,1,1,1,1,2,2,0,0,0,0,2,4,2,2,1,1,2,1,2,2,2,1,2,1,2,2,-1,1,-1,-1,1,CO - Congressional District 5,CO - Congressional District 5,1
ANES 2020-22 Social Media Study 20230705,328,2,41,1,4,1,1,17,MD,3,5,1,1,1,1,2,4,0,0,0,0,1,5,2,2,10,-1,2,2,2,1,1,1,2,1,1,2,-1,1,1,-1,1,MD - Congressional District 8,MD - Congressional District 8,2
ANES 2020-22 Social Media Study 20230705,329,1,39,1,2,1,1,11,CA,4,9,1,1,2,1,4,6,0,3,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,2,-1,1,-1,-1,1,CA - Congressional District 41,CA - Congressional District 41,1
ANES 2020-22 Social Media Study 20230705,330,2,75,3,3,1,5,11,AZ,4,8,1,1,1,1,3,2,0,0,0,0,2,3,1,2,1,1,2,1,2,2,2,2,2,1,2,2,-1,1,-1,-1,1,AZ - Congressional District 4,AZ - Congressional District 4,1
ANES 2020-22 Social Media Study 20230705,331,1,45,3,5,1,1,14,MI,2,3,1,1,2,3,4,4,0,1,1,0,2,3,2,2,14,-1,1,1,1,1,1,1,1,1,2,2,1,1,-1,-1,1,MI - Congressional District 8,MI - Congressional District 11,3
ANES 2020-22 Social Media Study 20230705,332,1,68,1,4,1,5,13,PA,1,2,1,1,1,1,2,2,0,0,0,0,2,4,2,2,9,-1,2,1,2,1,1,1,2,2,2,2,-1,-1,-1,-1,1,PA - Congressional District 5,PA - Congressional District 5,2
ANES 2020-22 Social Media Study 20230705,333,1,44,1,2,1,1,6,SC,3,5,1,1,1,1,2,2,0,0,0,0,2,5,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,-1,1,SC - Congressional District 1,SC - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,334,1,74,4,2,1,5,9,AL,3,6,1,1,1,1,2,2,0,0,0,0,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,AL - Congressional District 7,AL - Congressional District 7,2
ANES 2020-22 Social Media Study 20230705,335,1,34,1,2,5,1,5,ID,4,8,1,1,2,3,4,2,0,0,0,0,1,3,2,2,12,2,2,2,2,2,2,3,1,1,2,2,2,1,-1,-1,2,ID - Congressional District 2,ID - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,336,1,39,1,4,1,1,17,NY,1,2,1,1,1,2,4,6,0,0,2,0,4,4,2,2,14,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NY - Congressional District 11,NY - Congressional District 11,1
ANES 2020-22 Social Media Study 20230705,337,2,38,1,4,1,7,11,TX,3,7,0,1,3,1,2,4,0,1,1,0,2,4,2,2,1,1,2,1,2,1,1,2,2,1,2,2,-1,1,-1,-1,1,TX - Congressional District 25,TX - Congressional District 25,1
ANES 2020-22 Social Media Study 20230705,338,2,44,4,3,1,1,10,TX,3,7,1,1,1,1,4,6,0,0,2,1,3,2,2,2,1,1,1,2,2,2,2,4,2,1,1,2,-1,1,1,-1,1,TX - Congressional District 9,-6,1
ANES 2020-22 Social Media Study 20230705,339,2,25,1,2,6,7,9,KY,3,6,1,0,1,1,4,4,0,2,0,0,2,4,2,2,11,-1,2,1,1,2,1,2,2,1,2,2,-1,1,-1,-1,1,KY - Congressional District 2,KY - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,340,1,67,1,5,4,1,14,CA,4,9,1,1,1,3,4,1,0,0,0,0,1,2,2,2,14,-1,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,CA - Congressional District 30,CA - Congressional District 30,1
ANES 2020-22 Social Media Study 20230705,341,2,56,2,3,3,1,5,GA,3,5,0,0,1,4,2,1,0,0,0,0,1,3,2,2,1,1,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,GA - Congressional District 12,GA - Congressional District 12,2
ANES 2020-22 Social Media Study 20230705,342,2,37,1,2,6,1,7,TN,3,6,0,1,1,4,4,3,0,0,0,1,2,3,2,2,12,1,2,2,2,2,1,2,2,1,2,1,-1,1,-1,1,1,TN - Congressional District 8,TN - Congressional District 8,3
ANES 2020-22 Social Media Study 20230705,343,2,34,1,5,1,1,6,MO,2,4,1,1,3,2,2,6,0,1,4,0,2,4,2,2,9,-1,2,2,1,1,1,2,1,1,1,2,1,1,1,-1,1,MO - Congressional District 4,MO - Congressional District 4,2
ANES 2020-22 Social Media Study 20230705,344,1,43,1,4,1,1,18,GA,3,5,1,1,1,3,2,2,0,0,0,0,1,5,2,1,10,-1,2,2,2,1,1,2,1,2,1,2,1,-1,1,-1,1,GA - Congressional District 5,GA - Congressional District 5,2
ANES 2020-22 Social Media Study 20230705,345,1,40,1,4,1,1,4,MN,2,4,0,0,2,3,4,6,0,0,2,1,3,4,2,2,14,-1,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,MN - Congressional District 8,MN - Congressional District 8,2
ANES 2020-22 Social Media Study 20230705,346,2,45,2,3,3,6,9,TX,3,7,1,1,2,3,2,6,0,0,2,1,4,3,2,2,1,1,2,1,2,1,1,1,2,1,2,2,-1,2,-1,-1,1,TX - Congressional District 18,TX - Congressional District 18,2
ANES 2020-22 Social Media Study 20230705,347,1,38,1,1,5,1,8,MN,2,4,1,1,1,1,3,3,0,0,0,0,3,5,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,2,-1,1,MN - Congressional District 8,MN - Congressional District 8,2
ANES 2020-22 Social Media Study 20230705,348,1,54,1,2,1,5,6,OH,2,3,1,1,1,1,4,4,0,0,0,0,1,4,2,2,1,1,2,2,1,1,1,2,2,1,1,2,-1,2,2,-1,1,OH - Congressional District 13,OH - Congressional District 13,2
ANES 2020-22 Social Media Study 20230705,349,2,32,2,3,5,1,7,IA,2,4,0,1,2,1,4,5,0,0,1,1,2,3,2,2,12,2,2,2,2,1,1,3,2,1,2,2,-1,1,-1,-1,1,IA - Congressional District 1,IA - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,350,1,40,1,5,1,1,15,MD,3,5,1,1,1,1,2,6,0,1,3,0,2,4,2,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,-1,-1,1,MD - Congressional District 5,MD - Congressional District 5,3
ANES 2020-22 Social Media Study 20230705,351,1,63,1,5,1,1,14,MA,1,1,1,1,1,1,4,2,0,0,0,0,2,3,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,MA - Congressional District 2,MA - Congressional District 2,2
ANES 2020-22 Social Media Study 20230705,352,1,42,1,5,1,1,15,CT,1,1,1,1,1,1,2,5,0,0,2,0,3,3,2,2,12,2,1,1,1,1,2,2,2,1,2,1,-1,1,-1,2,1,CT - Congressional District 3,CT - Congressional District 3,3
ANES 2020-22 Social Media Study 20230705,353,1,50,3,4,1,1,13,MN,2,4,1,1,1,1,2,4,0,0,1,1,2,3,2,2,11,-1,1,2,2,1,1,2,2,1,2,2,-1,1,-1,-1,1,MN - Congressional District 3,MN - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,354,1,53,1,4,1,1,15,MA,1,1,1,1,1,1,2,3,0,0,0,0,3,4,2,2,10,-1,2,2,2,1,1,2,1,1,1,2,1,1,1,-1,1,MA - Congressional District 3,MA - Congressional District 3,2
ANES 2020-22 Social Media Study 20230705,355,1,48,1,4,5,1,18,CA,4,9,1,1,2,3,4,1,0,0,0,0,1,3,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,1,-1,-1,1,CA - Congressional District 52,CA - Congressional District 52,1
ANES 2020-22 Social Media Study 20230705,356,1,36,1,5,5,1,11,MA,1,1,1,1,1,1,4,2,0,0,0,0,1,3,2,2,10,-1,2,2,2,1,1,1,1,1,1,2,1,1,1,-1,1,MA - Congressional District 1,MA - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,357,2,61,2,4,5,1,9,MD,3,5,1,1,2,3,3,1,0,0,0,0,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,-1,-1,1,MD - Congressional District 5,MD - Congressional District 5,2
ANES 2020-22 Social Media Study 20230705,358,2,42,4,2,4,4,5,TX,3,7,1,0,2,3,4,3,0,0,0,2,1,3,2,2,12,1,2,2,2,2,1,3,2,1,2,2,-1,2,-1,-1,1,TX - Congressional District 33,TX - Congressional District 33,1
ANES 2020-22 Social Media Study 20230705,359,1,72,1,3,3,5,9,OR,4,9,1,1,1,1,4,1,0,0,0,0,1,2,1,2,11,-1,2,1,2,1,1,1,2,1,1,2,-1,1,1,-1,1,OR - Congressional District 2,OR - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,360,2,73,4,2,2,5,11,TX,3,7,1,1,1,1,4,3,0,0,0,0,3,5,2,2,2,2,1,1,2,2,1,1,2,1,1,2,-1,1,1,-1,1,TX - Congressional District 29,TX - Congressional District 29,2
ANES 2020-22 Social Media Study 20230705,361,2,38,4,2,4,1,6,CA,4,9,1,1,2,3,4,4,0,0,0,0,1,3,2,2,12,2,1,2,2,1,2,2,2,1,2,1,-1,1,-1,1,1,CA - Congressional District 39,CA - Congressional District 39,1
ANES 2020-22 Social Media Study 20230705,362,2,32,4,3,1,1,5,NY,1,2,1,1,2,3,2,6,0,0,1,4,2,5,2,3,14,2,1,1,1,1,1,1,1,2,2,1,2,-1,-1,2,1,NY - Congressional District 8,NY - Congressional District 8,2
ANES 2020-22 Social Media Study 20230705,363,1,52,4,2,6,3,2,NJ,1,2,1,0,2,3,4,2,0,0,0,0,2,3,2,2,2,2,2,1,2,1,1,2,2,1,2,1,-1,1,-1,1,2,NJ - Congressional District 1,NJ - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,364,1,66,1,4,1,5,9,AL,3,6,1,1,1,1,1,2,0,0,0,0,2,3,2,2,1,1,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,AL - Congressional District 2,AL - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,365,2,34,1,4,1,7,15,WV,3,5,1,1,1,1,4,5,0,0,0,0,1,3,2,2,12,2,2,1,2,1,1,2,2,1,1,1,-1,1,1,1,1,WV - Congressional District 2,WV - Congressional District 2,-7
ANES 2020-22 Social Media Study 20230705,366,1,59,1,4,1,4,12,TN,3,6,1,1,1,1,4,2,0,0,0,0,2,4,2,2,1,2,2,1,1,1,2,2,2,2,2,2,-1,-1,-1,-1,1,TN - Congressional District 1,TN - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,367,1,34,4,5,6,1,11,NV,4,8,1,1,2,3,4,2,0,0,0,0,2,4,2,2,9,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,NV - Congressional District 2,NV - Congressional District 2,2
ANES 2020-22 Social Media Study 20230705,368,1,65,1,3,3,5,5,KS,2,4,1,1,2,3,4,1,0,0,0,0,1,3,2,2,11,-1,2,1,2,1,2,1,2,1,2,2,-1,1,-1,-1,2,KS - Congressional District 4,KS - Congressional District 4,2
ANES 2020-22 Social Media Study 20230705,369,2,60,1,3,1,1,11,GA,3,5,0,1,1,1,2,3,0,0,0,0,3,4,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,-1,1,GA - Congressional District 2,GA - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,370,2,35,2,3,4,4,6,GA,3,5,1,0,2,1,4,3,0,0,0,0,3,3,2,2,1,1,2,1,2,2,1,3,2,1,1,1,-1,1,1,1,2,GA - Congressional District 13,GA - Congressional District 13,4
ANES 2020-22 Social Media Study 20230705,371,1,22,3,2,5,1,8,MO,2,4,1,1,1,1,4,4,0,0,0,0,4,5,2,2,1,1,2,1,2,1,1,2,2,1,1,2,-1,1,2,-1,1,MO - Congressional District 4,-6,2
ANES 2020-22 Social Media Study 20230705,372,2,73,1,3,1,5,11,NY,1,2,0,1,1,1,2,3,0,0,0,0,3,4,2,2,2,2,2,1,2,1,2,1,2,1,2,2,-1,2,-1,-1,1,NY - Congressional District 23,NY - Congressional District 23,1
ANES 2020-22 Social Media Study 20230705,373,1,36,1,3,1,1,11,TX,3,7,0,1,2,1,4,4,0,0,2,0,2,4,1,2,1,1,2,1,2,1,1,1,2,1,2,1,-1,1,-1,1,1,TX - Congressional District 25,TX - Congressional District 25,1
ANES 2020-22 Social Media Study 20230705,374,2,47,2,4,3,1,11,NJ,1,2,1,1,2,3,2,5,0,0,1,0,4,3,2,2,11,-1,2,1,2,2,2,2,2,1,1,2,-1,1,1,-1,1,NJ - Congressional District 10,NJ - Congressional District 10,2
ANES 2020-22 Social Media Study 20230705,375,2,77,1,3,3,5,6,CA,4,9,1,1,1,2,1,1,0,0,0,0,1,4,2,2,14,2,2,1,2,1,2,3,2,2,2,2,-1,-1,-1,-1,1,CA - Congressional District 47,CA - Congressional District 47,1
ANES 2020-22 Social Media Study 20230705,376,2,80,1,3,1,5,12,NJ,1,2,1,1,1,1,3,3,0,0,0,0,3,4,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,-1,-1,1,NJ - Congressional District 2,NJ - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,377,2,74,1,5,5,5,3,CA,4,9,0,1,1,1,3,1,0,0,0,0,1,4,2,2,14,2,2,2,2,1,2,3,2,1,2,2,-1,1,-1,-1,1,CA - Congressional District 1,CA - Congressional District 1,3
ANES 2020-22 Social Media Study 20230705,378,1,67,3,5,1,3,13,HI,4,9,1,1,1,1,2,2,0,0,0,0,2,2,2,2,9,-1,2,1,2,1,1,1,2,2,2,2,-1,-1,-1,-1,1,HI - Congressional District 1,HI - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,379,2,68,1,3,3,5,3,CO,4,8,1,1,1,1,1,2,0,0,0,0,2,1,2,2,12,1,2,1,2,1,1,1,2,1,2,1,-1,1,-1,1,1,CO - Congressional District 7,CO - Congressional District 2,2
ANES 2020-22 Social Media Study 20230705,380,2,37,1,4,5,1,10,KS,2,4,1,1,1,1,4,1,0,0,0,0,1,4,2,2,1,2,2,1,1,1,1,2,2,1,2,2,-1,1,-1,-1,1,KS - Congressional District 2,KS - Congressional District 2,3
ANES 2020-22 Social Media Study 20230705,381,1,65,1,2,5,5,4,FL,3,5,1,1,1,1,1,1,0,0,0,0,1,3,2,2,11,-1,2,1,2,1,2,1,1,1,2,2,2,2,-1,-1,1,FL - Congressional District 11,FL - Congressional District 11,2
ANES 2020-22 Social Media Study 20230705,382,1,57,1,4,1,1,15,KY,3,6,1,1,1,1,2,2,0,0,0,0,2,1,2,2,12,1,2,2,2,1,1,3,1,2,2,2,1,-1,-1,-1,1,KY - Congressional District 3,KY - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,383,2,70,1,3,3,5,4,NE,2,4,1,0,2,3,4,1,0,0,0,0,1,3,2,2,12,1,2,1,2,2,1,3,2,1,2,2,-1,1,-1,-1,1,NE - Congressional District 1,NE - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,384,2,56,1,3,3,6,3,AL,3,6,1,1,1,4,4,1,0,0,0,0,1,1,2,2,1,1,2,2,2,2,2,4,2,1,2,2,-1,1,-1,-1,1,AL - Congressional District 5,AL - Congressional District 5,1
